id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29433560,Two studios in Alfama,62988799,Lauren & Edouard,Lisboa,Santa Maria Maior,38.7122,-9.1268,Entire home/apt,75,3,0,,,9,311
29435717,"Room 5 - ""Campo Pequeno Lisbon 2""",215834625,Juliana,Lisboa,Areeiro,38.74436,-9.14142,Private room,27,1,3,2019-03-04,0.68,7,190
29436210,Tonic Flat,39465095,Domingas,Lisboa,So Vicente,38.71906,-9.1226,Entire home/apt,60,5,1,2018-10-23,0.20,9,265
29436556,Lovely room private WC- WI FI Free,15520967,Luciana And,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.7172,-9.24454,Private room,35,1,0,,,1,89
29437452,Historical design Flat,39465095,Domingas,Lisboa,So Vicente,38.71841,-9.12182,Entire home/apt,69,5,0,,,9,326
29437854,Suíte Queen com banheira de hidromassagem,152866491,Wilson,Lisboa,So Domingos de Benfica,38.75178,-9.18051,Private room,56,1,0,,,4,308
29437872,Executive Room 5.1 @ Anjos Metro station,14629738,Andy,Lisboa,Arroios,38.72868,-9.1356,Private room,30,3,4,2019-01-26,1.21,29,227
29438553,Sintra - A Casa da Estação/The Station House,27899159,Teresa,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79857,-9.38407,Entire home/apt,52,2,6,2019-03-03,1.28,1,297
29447021,Cozy Apartment in the Downtown,9547390,Paulo,Lisboa,Santa Maria Maior,38.70653,-9.14081,Entire home/apt,70,3,21,2019-03-21,4.34,1,133
29449904,Monte Estoril Apartment Charming Zone,221824748,José,Cascais,Cascais e Estoril,38.71154,-9.40733,Entire home/apt,38,2,1,2018-12-20,0.32,1,337
29451797,Cool Madragoa one bedroom couples paradise,19502629,Ainsley & Jorge,Lisboa,Estrela,38.70801,-9.15511,Entire home/apt,55,3,1,2019-01-17,0.45,2,122
29452071,Executive Room 5.2 @ Anjos Metro station,14629738,Andy,Lisboa,Arroios,38.72907,-9.13668,Private room,30,3,4,2019-01-25,1.07,29,255
29452094,Executive Room 5.3 @ Anjos Metro station,14629738,Andy,Lisboa,Arroios,38.7273,-9.13705,Private room,30,3,6,2019-01-22,1.49,29,272
29452098,Executive Room 5.4 @ Anjos Metro station,14629738,Andy,Lisboa,Arroios,38.72792,-9.13675,Private room,30,3,3,2019-01-13,0.67,29,263
29452397,Secret valley apartment in Santos,221836843,Sofia,Lisboa,Estrela,38.70542,-9.1588,Entire home/apt,60,2,0,,,1,365
29453229,Desterro,25839310,Samuel,Lisboa,Arroios,38.71858,-9.13663,Entire home/apt,60,3,5,2019-03-03,1.26,6,338
29454585,"Modern, spacious  2 bdr apt with AC and balcony",221864537,Irina & Carla,Lisboa,Parque das Naes,38.78168,-9.09755,Entire home/apt,120,2,1,2018-11-08,0.22,1,340
29456155,Cascais Terrace Fruit Point,188510330,FruitPoint,Cascais,Cascais e Estoril,38.69886,-9.4189,Shared room,17,1,0,,,7,343
29456681,"Iskia’s Apartments, Avenida Liberdade",157495330,Iskia,Lisboa,Santo Antnio,38.71994,-9.14285,Entire home/apt,65,2,15,2019-03-21,3.78,1,310
29457693,Lanui Apartments Belém,22036235,Antonio,Lisboa,Belm,38.69651,-9.20365,Entire home/apt,75,3,0,,,18,281
29458554,"NEW! Casa de Sta.Clara, Graça - Alfama",221896009,Abigail,Lisboa,So Vicente,38.71637,-9.12871,Entire home/apt,68,3,2,2019-01-01,0.70,1,291
29460075,Room-3  Close to Martim Moniz Metro,191412063,Sohel,Lisboa,Santa Maria Maior,38.71608,-9.13587,Shared room,30,1,0,,,7,326
29460474,Carcavelos Luz e Mar,221907238,Luis,Cascais,Carcavelos e Parede,38.68812,-9.33691,Entire home/apt,70,2,6,2019-03-06,2.22,1,137
29460481,Room-4  Close to Martim Moniz Metro,191412063,Sohel,Lisboa,Santa Maria Maior,38.7174,-9.13583,Private room,28,1,1,2019-02-16,0.83,7,60
29461040,Cozy Flat at Intendente with a balcony,221912700,Maria João,Lisboa,Arroios,38.72116,-9.13275,Entire home/apt,55,3,13,2019-03-19,2.93,1,30
29471899,Suite in Boutique Hostel,218997250,MyHostel,Lisboa,Avenidas Novas,38.73626,-9.14978,Private room,55,2,2,2018-12-29,0.68,6,95
29473296,Enjoy the Explorer's Home and Its Garden Views,54953124,Duarte J.,Lisboa,Estrela,38.70667,-9.17144,Entire home/apt,98,2,24,2019-03-22,5.29,1,286
29474072,City Center One Bedroom Apartment  at Baixa | Room Only,221177757,Hello Lisbon Baixa Ouro,Lisboa,Santa Maria Maior,38.70885,-9.13909,Entire home/apt,150,1,0,,,4,334
29474120,City Center One Bedroom Apartment at Baixa | Breakfast included,221177757,Hello Lisbon Baixa Ouro,Lisboa,Santa Maria Maior,38.71009,-9.13901,Entire home/apt,250,1,0,,,4,334
29474162,City Central Two Bedroom Apartment at Baixa | Room Only,221177757,Hello Lisbon Baixa Ouro,Lisboa,Santa Maria Maior,38.71002,-9.13781,Entire home/apt,250,1,1,2019-02-16,0.83,4,229
29474260,City Central Two Bedroom Apartment at Baixa | Breakfast Included,221177757,Hello Lisbon Baixa Ouro,Lisboa,Santa Maria Maior,38.70909,-9.1393,Entire home/apt,350,1,0,,,4,229
29474997,Lovely Large 4-bed off a Sunny Square,117981128,António,Lisboa,Alcntara,38.70599,-9.17689,Entire home/apt,110,2,1,2019-01-05,0.38,1,152
29477164,Suite Apartment in Old Town,169496343,Alberto,Lisboa,Misericrdia,38.71556,-9.1532,Entire home/apt,55,3,11,2019-03-16,2.56,3,356
29477908,Ali Welcome,150435226,Heike - INTER CHALET,Torres Vedras,A dos Cunhados e Maceira,39.13123,-9.3154,Entire home/apt,87,1,0,,,6,263
29479544,Chiado Elegant Apartment,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.70824,-9.13865,Entire home/apt,114,2,8,2019-03-04,3.12,263,270
29481453,7 Marquês (Lisbon) Apartment (up to 9 Pax),191245337,Shenas,Lisboa,Santo Antnio,38.7238,-9.14468,Entire home/apt,100,2,6,2019-03-05,1.98,2,133
29481929,Bright and traditional 2 bedroom apt by the castle,148578812,Alexandre & Carla,Lisboa,So Vicente,38.71672,-9.13196,Entire home/apt,100,3,9,2019-03-17,2.76,1,263
29483652,Room in Bairro Alto with A / C and  Double Bed,66575353,Pedro,Lisboa,Misericrdia,38.71285,-9.14411,Private room,48,3,1,2019-02-16,0.83,5,208
29484476,"1 bdrm w/outdoor balcony, close to Av Libertade.",218298020,Spike And Rodney,Lisboa,Santo Antnio,38.72101,-9.14323,Entire home/apt,50,3,1,2019-01-04,0.38,2,140
29484830,Casa Navegantes,688914,Luis,Cascais,Cascais e Estoril,38.69624,-9.42222,Entire home/apt,68,2,1,2019-02-28,1,62,94
29487417,NEW!Premium apt in the heart of Lisbon! w/ Lift&AC,222084933,Margarida,Lisboa,Misericrdia,38.70811,-9.14376,Entire home/apt,70,3,2,2019-03-18,1.00,1,319
29488698,Golden House 1,133623476,Alzira,Lisboa,So Domingos de Benfica,38.74777,-9.18857,Entire home/apt,70,2,1,2018-11-04,0.21,1,290
29488846,Flamingo´s Apartment,195689288,Paulo Alexandre,Lisboa,Areeiro,38.7386,-9.12989,Entire home/apt,80,2,0,,,2,335
29489757,UNIVERSAL LISBON APARTMENT,222102619,Maria Joaquina,Lisboa,Arroios,38.72171,-9.14067,Entire home/apt,80,2,0,,,1,220
29489984,Garden & comfort - Two bedrooms. Airport pick-up,222104445,Franck & Caroline,Lisboa,Misericrdia,38.71026,-9.15251,Entire home/apt,135,4,2,2019-02-03,0.75,1,213
29490682,Charming apartment in front of Castle São Jorge,41998277,Ernest,Lisboa,Santa Maria Maior,38.7127,-9.13481,Entire home/apt,80,3,31,2019-03-11,6.55,9,137
29492903,AVENIDA DA LIBERDADE - 3 SUITES BUILDING ★★★★★,143584759,Ana&Pedro,Lisboa,Santo Antnio,38.7175,-9.14411,Entire home/apt,140,3,0,,,1,0
29498734,Alfama’s Maze Lovely Spot – Bright & Spacious Apt,168924681,"João, Lays E Andreia",Lisboa,So Vicente,38.71348,-9.12576,Entire home/apt,80,2,16,2019-03-10,3.43,4,45
29499817,Suite @Luis Guesthouse with weekly discounts,164692909,Luis,Lisboa,Penha de Frana,38.72873,-9.1255,Private room,37,2,1,2018-11-26,0.25,4,96
29501402,Sintra view,13627750,Maria,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.81204,-9.37082,Entire home/apt,400,7,0,,,1,66
29502157,Charming - Host in Lisbon,222175102,Rita,Lisboa,Alvalade,38.75101,-9.14553,Entire home/apt,55,3,3,2019-01-12,0.79,1,355
29502719,Amazing House in Castle with River View,222178877,Márcia,Lisboa,Santa Maria Maior,38.71179,-9.13385,Entire home/apt,150,3,11,2019-02-28,2.64,1,328
29503612,Alfama - Graça apartment,61362102,Tom,Lisboa,So Vicente,38.7143,-9.12742,Entire home/apt,80,2,4,2019-03-12,1.41,2,7
